"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"active-canonical","skills","csv-xlsx-import-export-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\csv-xlsx-import-export-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/csv-xlsx-import-export-stinger"
"canonical-authority","skills","csv-xlsx-import-export-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/csv-xlsx-import-export-stinger"
"superseded-legacy","skills","csv-xlsx-import-export-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/csv-xlsx-import-export-weapon"
"active-canonical","agents","csv-xlsx-import-export-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\csv-xlsx-import-export-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/csv-xlsx-import-export-worker-bee.md"
"canonical-authority","agents","csv-xlsx-import-export-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/csv-xlsx-import-export-worker-bee.toml"
"superseded-legacy","agents","cursor-ide-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/cursor-ide-guardian.md"
"active-canonical","skills","cursor-ide-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\cursor-ide-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/cursor-ide-stinger"
"canonical-authority","skills","cursor-ide-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/cursor-ide-stinger"
"superseded-legacy","skills","cursor-ide-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/cursor-ide-weapon"
"active-canonical","agents","cursor-ide-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\cursor-ide-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/cursor-ide-worker-bee.md"
"canonical-authority","agents","cursor-ide-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/cursor-ide-worker-bee.toml"
"superseded-legacy","agents","customer-support-tooling-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/customer-support-tooling-guardian.md"
"active-paired","skills","customer-support-tooling-stinger","user global claude","6/18/2026 5:54:37 AM","skills\customer-support-tooling-stinger","complete pair or additive non-pair asset",".claude/skills/customer-support-tooling-stinger"
"superseded-legacy","skills","customer-support-tooling-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/customer-support-tooling-weapon"
"active-paired","agents","customer-support-tooling-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\customer-support-tooling-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/customer-support-tooling-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","daily-brief","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\daily-brief","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/daily-brief"
"superseded-legacy","agents","dark-mode-theming-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/dark-mode-theming-guardian.md"
"active-canonical","skills","dark-mode-theming-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\dark-mode-theming-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/dark-mode-theming-stinger"
"canonical-authority","skills","dark-mode-theming-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/dark-mode-theming-stinger"
"superseded-legacy","skills","dark-mode-theming-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/dark-mode-theming-weapon"
"active-canonical","agents","dark-mode-theming-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\dark-mode-theming-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/dark-mode-theming-worker-bee.md"
"canonical-authority","agents","dark-mode-theming-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/dark-mode-theming-worker-bee.toml"
"active-canonical","hooks","dash-guard.mjs","vibe-coding-tools canonical","8/14/2026 9:50:13 PM","hooks\dash-guard.mjs","canonical baseline","GitHub/vibe-coding-tools/.claude/hooks/dash-guard.mjs"
"canonical-authority","hooks","dash-guard.mjs","user global codex","8/14/2026 9:50:13 PM","","canonical-authority",".codex/hooks/dash-guard.mjs"
"quarantine-unpaired-or-legacy","skills","day-reconstructor","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\day-reconstructor","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/day-reconstructor"
"superseded-legacy","agents","db-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/db-guardian.md"
"active-canonical","skills","db-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\db-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/db-stinger"
"canonical-authority","skills","db-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/db-stinger"
"superseded-legacy","skills","db-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/db-weapon"
"active-canonical","agents","db-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\db-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/db-worker-bee.md"
"canonical-authority","agents","db-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/db-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","deal-pipeline-reconstructor","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\deal-pipeline-reconstructor","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/deal-pipeline-reconstructor"
"active-paired","skills","deeplake-dataset-stinger","user global agents","8/14/2026 11:10:32 AM","skills\deeplake-dataset-stinger","complete pair or additive non-pair asset",".agents/skills/deeplake-dataset-stinger"
"active-paired","agents","deeplake-dataset-worker-bee.md","user global agents","6/17/2026 11:59:52 AM","agents\deeplake-dataset-worker-bee.md","complete pair or additive non-pair asset",".agents/agents/deeplake-dataset-worker-bee.md"
"superseded-legacy","agents","dependency-audit-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/dependency-audit-guardian.md"
"active-canonical","skills","dependency-audit-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\dependency-audit-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/dependency-audit-stinger"
"canonical-authority","skills","dependency-audit-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/dependency-audit-stinger"
"superseded-legacy","skills","dependency-audit-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/dependency-audit-weapon"
"active-canonical","agents","dependency-audit-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\dependency-audit-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/dependency-audit-worker-bee.md"
"canonical-authority","agents","dependency-audit-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/dependency-audit-worker-bee.toml"
"superseded-legacy","agents","design-system-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/design-system-guardian.md"
"active-canonical","skills","design-system-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\design-system-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/design-system-stinger"
"canonical-authority","skills","design-system-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/design-system-stinger"
"superseded-legacy","skills","design-system-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/design-system-weapon"
"active-canonical","agents","design-system-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\design-system-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/design-system-worker-bee.md"
"canonical-authority","agents","design-system-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/design-system-worker-bee.toml"
"superseded-legacy","agents","devops-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/devops-guardian.md"
"active-canonical","skills","devops-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\devops-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/devops-stinger"
"canonical-authority","skills","devops-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/devops-stinger"
"superseded-legacy","skills","devops-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/devops-weapon"
"active-canonical","agents","devops-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\devops-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/devops-worker-bee.md"
"canonical-authority","agents","devops-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/devops-worker-bee.toml"
"superseded-legacy","agents","discord-bot-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/discord-bot-guardian.md"
"active-canonical","skills","discord-bot-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\discord-bot-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/discord-bot-stinger"
"canonical-authority","skills","discord-bot-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/discord-bot-stinger"
"superseded-legacy","skills","discord-bot-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/discord-bot-weapon"
"active-canonical","agents","discord-bot-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\discord-bot-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/discord-bot-worker-bee.md"
"canonical-authority","agents","discord-bot-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/discord-bot-worker-bee.toml"
"superseded-legacy","agents","discovery-research-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/discovery-research-guardian.md"
"active-paired","skills","discovery-research-stinger","user global claude","6/18/2026 5:54:38 AM","skills\discovery-research-stinger","complete pair or additive non-pair asset",".claude/skills/discovery-research-stinger"
"superseded-legacy","skills","discovery-research-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/discovery-research-weapon"
"active-paired","agents","discovery-research-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\discovery-research-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/discovery-research-worker-bee.md"
"superseded-legacy","agents","docs-site-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/docs-site-guardian.md"
"active-canonical","skills","docs-site-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\docs-site-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/docs-site-stinger"
"canonical-authority","skills","docs-site-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/docs-site-stinger"
"superseded-legacy","skills","docs-site-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/docs-site-weapon"
"active-canonical","agents","docs-site-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\docs-site-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/docs-site-worker-bee.md"
"canonical-authority","agents","docs-site-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/docs-site-worker-bee.toml"
"active-canonical","skills","doppler-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\doppler-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/doppler-stinger"
"canonical-authority","skills","doppler-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/doppler-stinger"
"active-canonical","agents","doppler-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\doppler-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/doppler-worker-bee.md"
"canonical-authority","agents","doppler-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/doppler-worker-bee.toml"
"canonical-authority","commands","drift-audit.md","vibe-coding-tools local cursor","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/commands/drift-audit.md"
"active-canonical","commands","drift-audit.md","vibe-coding-tools canonical","8/15/2026 4:14:02 AM","commands\drift-audit.md","canonical baseline","GitHub/vibe-coding-tools/.claude/commands/drift-audit.md"
"quarantine-unpaired-or-legacy","skills","electron-dissection-stinger","user global agents","9/4/2026 11:47:43 PM","quarantine\skills\electron-dissection-stinger","unpaired or unmatched legacy asset",".agents/skills/electron-dissection-stinger"
"active-canonical","skills","embeddings-runtime-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\embeddings-runtime-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/embeddings-runtime-stinger"
"canonical-authority","skills","embeddings-runtime-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/embeddings-runtime-stinger"
"active-canonical","agents","embeddings-runtime-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\embeddings-runtime-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/embeddings-runtime-worker-bee.md"
"canonical-authority","agents","embeddings-runtime-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/embeddings-runtime-worker-bee.toml"
"superseded-legacy","agents","estimation-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/estimation-guardian.md"
"active-canonical","skills","estimation-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\estimation-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/estimation-stinger"
"canonical-authority","skills","estimation-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/estimation-stinger"
"superseded-legacy","skills","estimation-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/estimation-weapon"
"active-canonical","agents","estimation-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\estimation-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/estimation-worker-bee.md"
"canonical-authority","agents","estimation-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/estimation-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","facebook-voice-creator","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\facebook-voice-creator","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/facebook-voice-creator"
"quarantine-unpaired-or-legacy","skills","focus-forensics","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\focus-forensics","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/focus-forensics"
"superseded-legacy","agents","font-loading-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/font-loading-guardian.md"
"active-canonical","skills","font-loading-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\font-loading-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/font-loading-stinger"
"canonical-authority","skills","font-loading-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/font-loading-stinger"
"superseded-legacy","skills","font-loading-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/font-loading-weapon"
"active-canonical","agents","font-loading-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\font-loading-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/font-loading-worker-bee.md"
"canonical-authority","agents","font-loading-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/font-loading-worker-bee.toml"
"canonical-authority","commands","forge.md","vibe-coding-tools local cursor","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/commands/forge.md"
"active-canonical","commands","forge.md","vibe-coding-tools canonical","8/15/2026 4:12:53 AM","commands\forge.md","canonical baseline","GitHub/vibe-coding-tools/.claude/commands/forge.md"
"active-canonical","skills","get-started-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\get-started-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/get-started-stinger"
"canonical-authority","skills","get-started-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/get-started-stinger"
"superseded-legacy","agents","git-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/git-guardian.md"
"active-canonical","skills","git-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\git-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/git-stinger"
"canonical-authority","skills","git-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/git-stinger"
"superseded-legacy","skills","git-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/git-weapon"
"active-canonical","agents","git-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\git-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/git-worker-bee.md"
"canonical-authority","agents","git-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/git-worker-bee.toml"
"superseded-legacy","agents","github-repo-health-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/github-repo-health-guardian.md"
"active-canonical","skills","github-repo-health-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\github-repo-health-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/github-repo-health-stinger"
"canonical-authority","skills","github-repo-health-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/github-repo-health-stinger"
"superseded-legacy","skills","github-repo-health-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/github-repo-health-weapon"
"active-canonical","agents","github-repo-health-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\github-repo-health-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/github-repo-health-worker-bee.md"
"canonical-authority","agents","github-repo-health-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/github-repo-health-worker-bee.toml"
"active-paired","skills","go-stinger","user global agents","9/4/2026 10:42:52 PM","skills\go-stinger","complete pair or additive non-pair asset",".agents/skills/go-stinger"
"active-paired","agents","go-worker-bee.md","user global agents","9/4/2026 10:45:37 PM","agents\go-worker-bee.md","complete pair or additive non-pair asset",".agents/agents/go-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","god","legion-suite cursor","5/22/2026 11:01:55 PM","quarantine\skills\god","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/skills/god"
"quarantine-unpaired-or-legacy","skills","god-registrar","legion-suite cursor","5/22/2026 11:01:55 PM","quarantine\skills\god-registrar","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/skills/god-registrar"
"quarantine-unpaired-or-legacy","skills","gods-hand-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","quarantine\skills\gods-hand-weapon","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/skills/gods-hand-weapon"
"quarantine-unpaired-or-legacy","agents","gods-hand.md","legion-suite cursor","5/20/2026 11:51:57 PM","quarantine\agents\gods-hand.md","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/agents/gods-hand.md"
"active-canonical","skills","gohighlevel-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\gohighlevel-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/gohighlevel-stinger"
"canonical-authority","skills","gohighlevel-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/gohighlevel-stinger"
"active-canonical","agents","gohighlevel-worker-bee.md","vibe-coding-tools canonical","9/4/2026 4:09:36 AM","agents\gohighlevel-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/gohighlevel-worker-bee.md"
"canonical-authority","agents","gohighlevel-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/gohighlevel-worker-bee.toml"
"active-canonical","skills","harness-integration-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\harness-integration-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/harness-integration-stinger"
"canonical-authority","skills","harness-integration-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/harness-integration-stinger"
"active-canonical","agents","harness-integration-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\harness-integration-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/harness-integration-worker-bee.md"
"canonical-authority","agents","harness-integration-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/harness-integration-worker-bee.toml"
"canonical-authority","skills","highlevel-ai-studio-stinger","user global claude","9/5/2026 8:41:49 AM","","canonical-authority",".claude/skills/highlevel-ai-studio-stinger"
"active-canonical","skills","highlevel-ai-studio-stinger","vibe-coding-tools canonical","9/4/2026 4:12:51 AM","skills\highlevel-ai-studio-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/highlevel-ai-studio-stinger"
"active-canonical","agents","highlevel-ai-studio-worker-bee.md","vibe-coding-tools canonical","9/4/2026 4:08:50 AM","agents\highlevel-ai-studio-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/highlevel-ai-studio-worker-bee.md"
"canonical-authority","agents","highlevel-ai-studio-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/highlevel-ai-studio-worker-bee.toml"
"superseded-legacy","agents","hiring-ats-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/hiring-ats-guardian.md"
"active-paired","skills","hiring-ats-stinger","user global claude","6/18/2026 5:54:39 AM","skills\hiring-ats-stinger","complete pair or additive non-pair asset",".claude/skills/hiring-ats-stinger"
"superseded-legacy","skills","hiring-ats-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/hiring-ats-weapon"
"active-paired","agents","hiring-ats-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\hiring-ats-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/hiring-ats-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","hive-registrar","user global agents","8/14/2026 11:10:33 AM","quarantine\skills\hive-registrar","unpaired or unmatched legacy asset",".agents/skills/hive-registrar"
"quarantine-unpaired-or-legacy","agents","hivenectar-worker-bee.md","the-apiary nectar","7/1/2026 9:14:24 AM","quarantine\agents\hivenectar-worker-bee.md","unpaired or unmatched legacy asset","GitHub/the-apiary/nectar/agents/hivenectar-worker-bee.md"
"canonical-authority","hooks","hooks.json","user global claude","9/3/2026 7:06:25 AM","","canonical-authority",".claude/hooks/hooks.json"
"active-canonical","hooks","hooks.json","vibe-coding-tools canonical","8/14/2026 9:51:41 PM","hooks\hooks.json","canonical baseline","GitHub/vibe-coding-tools/.claude/hooks/hooks.json"
"superseded-legacy","agents","hr-payroll-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/hr-payroll-guardian.md"
"active-paired","skills","hr-payroll-stinger","user global claude","6/18/2026 5:54:40 AM","skills\hr-payroll-stinger","complete pair or additive non-pair asset",".claude/skills/hr-payroll-stinger"
"superseded-legacy","skills","hr-payroll-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/hr-payroll-weapon"
"active-paired","agents","hr-payroll-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\hr-payroll-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/hr-payroll-worker-bee.md"
"superseded-legacy","agents","http-rest-fundamentals-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/http-rest-fundamentals-guardian.md"
"active-canonical","skills","http-rest-fundamentals-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\http-rest-fundamentals-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/http-rest-fundamentals-stinger"
"canonical-authority","skills","http-rest-fundamentals-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/http-rest-fundamentals-stinger"
"superseded-legacy","skills","http-rest-fundamentals-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/http-rest-fundamentals-weapon"
