"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"active-canonical","skills","api-docs-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\api-docs-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/api-docs-stinger"
"canonical-authority","skills","api-docs-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/api-docs-stinger"
"superseded-legacy","skills","api-docs-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/api-docs-weapon"
"active-canonical","agents","api-docs-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\api-docs-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/api-docs-worker-bee.md"
"canonical-authority","agents","api-docs-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/api-docs-worker-bee.toml"
"superseded-legacy","agents","app-store-submission-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/app-store-submission-guardian.md"
"active-canonical","skills","app-store-submission-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\app-store-submission-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/app-store-submission-stinger"
"canonical-authority","skills","app-store-submission-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/app-store-submission-stinger"
"superseded-legacy","skills","app-store-submission-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/app-store-submission-weapon"
"active-canonical","agents","app-store-submission-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\app-store-submission-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/app-store-submission-worker-bee.md"
"canonical-authority","agents","app-store-submission-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/app-store-submission-worker-bee.toml"
"canonical-authority","skills","archivist-stinger","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/skills/archivist-stinger"
"active-canonical","skills","archivist-stinger","vibe-coding-tools canonical","9/5/2026 8:26:07 AM","skills\archivist-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/archivist-stinger"
"active-canonical","agents","archivist-worker-bee.md","vibe-coding-tools canonical","9/5/2026 8:26:38 AM","agents\archivist-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/archivist-worker-bee.md"
"canonical-authority","agents","archivist-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 9:53:41 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/archivist-worker-bee.toml"
"superseded-legacy","agents","asset-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/asset-guardian.md"
"active-canonical","skills","asset-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\asset-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/asset-stinger"
"canonical-authority","skills","asset-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/asset-stinger"
"superseded-legacy","skills","asset-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/asset-weapon"
"active-canonical","agents","asset-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\asset-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/asset-worker-bee.md"
"canonical-authority","agents","asset-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/asset-worker-bee.toml"
"superseded-legacy","agents","auth-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/auth-guardian.md"
"active-canonical","skills","auth-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\auth-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/auth-stinger"
"canonical-authority","skills","auth-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/auth-stinger"
"superseded-legacy","skills","auth-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/auth-weapon"
"active-canonical","agents","auth-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\auth-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/auth-worker-bee.md"
"canonical-authority","agents","auth-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/auth-worker-bee.toml"
"canonical-authority","skills","beekeeper-suit","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/skills/beekeeper-suit"
"active-canonical","skills","beekeeper-suit","vibe-coding-tools canonical","9/5/2026 9:53:41 AM","skills\beekeeper-suit","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/beekeeper-suit"
"active-paired","skills","bifrost-stinger","user global agents","9/4/2026 10:42:52 PM","skills\bifrost-stinger","complete pair or additive non-pair asset",".agents/skills/bifrost-stinger"
"active-paired","agents","bifrost-worker-bee.md","user global agents","9/4/2026 10:45:38 PM","agents\bifrost-worker-bee.md","complete pair or additive non-pair asset",".agents/agents/bifrost-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","big-bang-earth","legion-suite cursor","5/22/2026 11:01:53 PM","quarantine\skills\big-bang-earth","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/skills/big-bang-earth"
"quarantine-unpaired-or-legacy","agents","big-bang-space.md","legion-suite cursor","5/20/2026 11:51:57 PM","quarantine\agents\big-bang-space.md","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/agents/big-bang-space.md"
"superseded-legacy","agents","blogging-content-strategy-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/blogging-content-strategy-guardian.md"
"active-paired","skills","blogging-content-strategy-stinger","user global claude","6/18/2026 5:54:36 AM","skills\blogging-content-strategy-stinger","complete pair or additive non-pair asset",".claude/skills/blogging-content-strategy-stinger"
"superseded-legacy","skills","blogging-content-strategy-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/blogging-content-strategy-weapon"
"active-paired","agents","blogging-content-strategy-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\blogging-content-strategy-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/blogging-content-strategy-worker-bee.md"
"superseded-legacy","agents","branching-strategy-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/branching-strategy-guardian.md"
"active-canonical","skills","branching-strategy-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\branching-strategy-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/branching-strategy-stinger"
"canonical-authority","skills","branching-strategy-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/branching-strategy-stinger"
"superseded-legacy","skills","branching-strategy-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/branching-strategy-weapon"
"active-canonical","agents","branching-strategy-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\branching-strategy-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/branching-strategy-worker-bee.md"
"canonical-authority","agents","branching-strategy-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/branching-strategy-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","brand-voice-guardian","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\brand-voice-guardian","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/brand-voice-guardian"
"active-additive","rules","cadegent-legion-staging.mdc","user global cursor","8/31/2026 10:38:36 AM","rules\cadegent-legion-staging.mdc","complete pair or additive non-pair asset",".cursor/rules/cadegent-legion-staging.mdc"
"superseded-legacy","agents","changelog-release-notes-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/changelog-release-notes-guardian.md"
"active-canonical","skills","changelog-release-notes-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\changelog-release-notes-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/changelog-release-notes-stinger"
"canonical-authority","skills","changelog-release-notes-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/changelog-release-notes-stinger"
"superseded-legacy","skills","changelog-release-notes-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/changelog-release-notes-weapon"
"active-canonical","agents","changelog-release-notes-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\changelog-release-notes-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/changelog-release-notes-worker-bee.md"
"canonical-authority","agents","changelog-release-notes-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/changelog-release-notes-worker-bee.toml"
"active-canonical","skills","ci-release-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\ci-release-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/ci-release-stinger"
"canonical-authority","skills","ci-release-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/ci-release-stinger"
"active-canonical","agents","ci-release-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\ci-release-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/ci-release-worker-bee.md"
"canonical-authority","agents","ci-release-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/ci-release-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","client-health-radar","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\client-health-radar","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/client-health-radar"
"superseded-legacy","agents","code-forensics-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/code-forensics-guardian.md"
"active-paired","skills","code-forensics-stinger","user global claude","6/18/2026 5:54:37 AM","skills\code-forensics-stinger","complete pair or additive non-pair asset",".claude/skills/code-forensics-stinger"
