"Asset Type","Asset","Source","Harness","Last Updated UTC","Path Relative to Home","Kind","Source Relative Path"
"agents","preact-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/preact-worker-bee.md","file","agents/preact-worker-bee.md"
"agents","preact-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/preact-worker-bee.md","file","agents/preact-worker-bee.md"
"agents","preact-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/preact-worker-bee.md","file","agents/preact-worker-bee.md"
"agents","preact-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/preact-worker-bee.md","file",".claude/agents/preact-worker-bee.md"
"agents","preact-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/preact-worker-bee.md","file",".agents/agents/preact-worker-bee.md"
"agents","preact-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/preact-worker-bee.md","file",".cursor/agents/preact-worker-bee.md"
"agents","preact-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/preact-worker-bee.toml","file","agents/preact-worker-bee.toml"
"agents","preact-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/preact-worker-bee.toml","file",".codex/agents/preact-worker-bee.toml"
"agents","product-feedback-roadmap-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/product-feedback-roadmap-guardian.md","file",".cursor/agents/product-feedback-roadmap-guardian.md"
"agents","product-feedback-roadmap-worker-bee.md","user global claude","","6/18/2026 5:54:35 AM",".claude/agents/product-feedback-roadmap-worker-bee.md","file","agents/product-feedback-roadmap-worker-bee.md"
"agents","product-tour-onboarding-ui-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/product-tour-onboarding-ui-guardian.md","file",".cursor/agents/product-tour-onboarding-ui-guardian.md"
"agents","product-tour-onboarding-ui-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/product-tour-onboarding-ui-worker-bee.md","file","agents/product-tour-onboarding-ui-worker-bee.md"
"agents","product-tour-onboarding-ui-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/product-tour-onboarding-ui-worker-bee.md","file","agents/product-tour-onboarding-ui-worker-bee.md"
"agents","product-tour-onboarding-ui-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/product-tour-onboarding-ui-worker-bee.md","file","agents/product-tour-onboarding-ui-worker-bee.md"
"agents","product-tour-onboarding-ui-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/product-tour-onboarding-ui-worker-bee.md","file",".claude/agents/product-tour-onboarding-ui-worker-bee.md"
"agents","product-tour-onboarding-ui-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/product-tour-onboarding-ui-worker-bee.md","file",".agents/agents/product-tour-onboarding-ui-worker-bee.md"
"agents","product-tour-onboarding-ui-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/product-tour-onboarding-ui-worker-bee.md","file",".cursor/agents/product-tour-onboarding-ui-worker-bee.md"
"agents","product-tour-onboarding-ui-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/product-tour-onboarding-ui-worker-bee.toml","file","agents/product-tour-onboarding-ui-worker-bee.toml"
"agents","product-tour-onboarding-ui-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/product-tour-onboarding-ui-worker-bee.toml","file",".codex/agents/product-tour-onboarding-ui-worker-bee.toml"
"agents","python-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/python-guardian.md","file",".cursor/agents/python-guardian.md"
"agents","python-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/python-worker-bee.md","file","agents/python-worker-bee.md"
"agents","python-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/python-worker-bee.md","file","agents/python-worker-bee.md"
"agents","python-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/python-worker-bee.md","file","agents/python-worker-bee.md"
"agents","python-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/python-worker-bee.md","file",".claude/agents/python-worker-bee.md"
"agents","python-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/python-worker-bee.md","file",".agents/agents/python-worker-bee.md"
"agents","python-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/python-worker-bee.md","file",".cursor/agents/python-worker-bee.md"
"agents","python-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/python-worker-bee.toml","file","agents/python-worker-bee.toml"
"agents","python-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/python-worker-bee.toml","file",".codex/agents/python-worker-bee.toml"
"agents","quality-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/quality-guardian.md","file",".cursor/agents/quality-guardian.md"
"agents","quality-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/quality-worker-bee.md","file","agents/quality-worker-bee.md"
"agents","quality-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/quality-worker-bee.md","file","agents/quality-worker-bee.md"
"agents","quality-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/quality-worker-bee.md","file","agents/quality-worker-bee.md"
"agents","quality-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/quality-worker-bee.md","file",".claude/agents/quality-worker-bee.md"
"agents","quality-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/quality-worker-bee.md","file",".agents/agents/quality-worker-bee.md"
"agents","quality-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/quality-worker-bee.md","file",".cursor/agents/quality-worker-bee.md"
"agents","quality-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/quality-worker-bee.toml","file","agents/quality-worker-bee.toml"
"agents","quality-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/quality-worker-bee.toml","file",".codex/agents/quality-worker-bee.toml"
"agents","react-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/react-guardian.md","file",".cursor/agents/react-guardian.md"
"agents","react-to-svelte-worker-bee.md","user global agents","","9/4/2026 10:45:38 PM",".agents/agents/react-to-svelte-worker-bee.md","file","agents/react-to-svelte-worker-bee.md"
"agents","react-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/react-worker-bee.md","file","agents/react-worker-bee.md"
"agents","react-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/react-worker-bee.md","file","agents/react-worker-bee.md"
"agents","react-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/react-worker-bee.md","file","agents/react-worker-bee.md"
"agents","react-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/react-worker-bee.md","file",".claude/agents/react-worker-bee.md"
"agents","react-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/react-worker-bee.md","file",".agents/agents/react-worker-bee.md"
"agents","react-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/react-worker-bee.md","file",".cursor/agents/react-worker-bee.md"
"agents","react-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/react-worker-bee.toml","file","agents/react-worker-bee.toml"
"agents","react-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/react-worker-bee.toml","file",".codex/agents/react-worker-bee.toml"
"agents","readme-writing-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/readme-writing-guardian.md","file",".cursor/agents/readme-writing-guardian.md"
"agents","readme-writing-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/readme-writing-worker-bee.md","file","agents/readme-writing-worker-bee.md"
"agents","readme-writing-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/readme-writing-worker-bee.md","file","agents/readme-writing-worker-bee.md"
"agents","readme-writing-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/readme-writing-worker-bee.md","file","agents/readme-writing-worker-bee.md"
"agents","readme-writing-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/readme-writing-worker-bee.md","file",".claude/agents/readme-writing-worker-bee.md"
"agents","readme-writing-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/readme-writing-worker-bee.md","file",".agents/agents/readme-writing-worker-bee.md"
"agents","readme-writing-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/readme-writing-worker-bee.md","file",".cursor/agents/readme-writing-worker-bee.md"
"agents","readme-writing-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/readme-writing-worker-bee.toml","file","agents/readme-writing-worker-bee.toml"
"agents","readme-writing-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/readme-writing-worker-bee.toml","file",".codex/agents/readme-writing-worker-bee.toml"
"agents","retrieval-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/retrieval-worker-bee.md","file","agents/retrieval-worker-bee.md"
"agents","retrieval-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/retrieval-worker-bee.md","file","agents/retrieval-worker-bee.md"
"agents","retrieval-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/retrieval-worker-bee.md","file","agents/retrieval-worker-bee.md"
"agents","retrieval-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/retrieval-worker-bee.md","file",".claude/agents/retrieval-worker-bee.md"
"agents","retrieval-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/retrieval-worker-bee.md","file",".agents/agents/retrieval-worker-bee.md"
"agents","retrieval-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/retrieval-worker-bee.md","file",".cursor/agents/retrieval-worker-bee.md"
"agents","retrieval-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/retrieval-worker-bee.toml","file","agents/retrieval-worker-bee.toml"
"agents","retrieval-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/retrieval-worker-bee.toml","file",".codex/agents/retrieval-worker-bee.toml"
"agents","retrospective-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/retrospective-guardian.md","file",".cursor/agents/retrospective-guardian.md"
"agents","retrospective-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/retrospective-worker-bee.md","file","agents/retrospective-worker-bee.md"
"agents","retrospective-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/retrospective-worker-bee.md","file","agents/retrospective-worker-bee.md"
"agents","retrospective-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/retrospective-worker-bee.md","file","agents/retrospective-worker-bee.md"
"agents","retrospective-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/retrospective-worker-bee.md","file",".claude/agents/retrospective-worker-bee.md"
"agents","retrospective-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/retrospective-worker-bee.md","file",".agents/agents/retrospective-worker-bee.md"
"agents","retrospective-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/retrospective-worker-bee.md","file",".cursor/agents/retrospective-worker-bee.md"
